Year,Title,Abstract
2017,Diagnostic Assessment of Deep Learning Algorithms for Detection of Lymph Node Metastases in Women With Breast Cancer,"Importance Application of deep learning algorithms to whole-slide pathology images can potentially improve diagnostic accuracy and efficiency. Objective Assess the performance of automated deep learning algorithms at detecting metastases in hematoxylin and eosin–stained tissue sections of lymph nodes of women with breast cancer and compare it with pathologists’ diagnoses in a diagnostic setting. Design, Setting, and Participants Researcher challenge competition (CAMELYON16) to develop automated solutions for detecting lymph node metastases (November 2015-November 2016). A training data set of whole-slide images from 2 centers in the Netherlands with (n = 110) and without (n = 160) nodal metastases verified by immunohistochemical staining were provided to challenge participants to build algorithms. Algorithm performance was evaluated in an independent test set of 129 whole-slide images (49 with and 80 without metastases). The same test set of corresponding glass slides was also evaluated by a panel of 11 pathologists with time constraint (WTC) from the Netherlands to ascertain likelihood of nodal metastases for each slide in a flexible 2-hour session, simulating routine pathology workflow, and by 1 pathologist without time constraint (WOTC). Exposures Deep learning algorithms submitted as part of a challenge competition or pathologist interpretation. Main Outcomes and Measures The presence of specific metastatic foci and the absence vs presence of lymph node metastasis in a slide or image using receiver operating characteristic curve analysis. The 11 pathologists participating in the simulation exercise rated their diagnostic confidence as definitely normal, probably normal, equivocal, probably tumor, or definitely tumor. Results The area under the receiver operating characteristic curve (AUC) for the algorithms ranged from 0.556 to 0.994. The top-performing algorithm achieved a lesion-level, true-positive fraction comparable with that of the pathologist WOTC (72.4% [95% CI, 64.3%-80.4%]) at a mean of 0.0125 false-positives per normal whole-slide image. For the whole-slide image classification task, the best algorithm (AUC, 0.994 [95% CI, 0.983-0.999]) performed significantly better than the pathologists WTC in a diagnostic simulation (mean AUC, 0.810 [range, 0.738-0.884]; P < .001). The top 5 algorithms had a mean AUC that was comparable with the pathologist interpreting the slides in the absence of time constraints (mean AUC, 0.960 [range, 0.923-0.994] for the top 5 algorithms vs 0.966 [95% CI, 0.927-0.998] for the pathologist WOTC). Conclusions and Relevance In the setting of a challenge competition, some deep learning algorithms achieved better diagnostic performance than a panel of 11 pathologists participating in a simulation exercise designed to mimic routine pathology workflow; algorithm performance was comparable with an expert pathologist interpreting whole-slide images without time constraints. Whether this approach has clinical utility will require evaluation in a clinical setting."
2019,Trastuzumab Deruxtecan in Previously Treated HER2-Positive Breast Cancer.,"BACKGROUND Trastuzumab deruxtecan (DS-8201) is an antibody-drug conjugate composed of an anti-HER2 (human epidermal growth factor receptor 2) antibody, a cleavable tetrapeptide-based linker, and a cytotoxic topoisomerase I inhibitor. In a phase 1 dose-finding study, a majority of the patients with advanced HER2-positive breast cancer had a response to trastuzumab deruxtecan (median response duration, 20.7 months). The efficacy of trastuzumab deruxtecan in patients with HER2-positive metastatic breast cancer previously treated with trastuzumab emtansine requires confirmation. METHODS In this two-part, open-label, single-group, multicenter, phase 2 study, we evaluated trastuzumab deruxtecan in adults with pathologically documented HER2-positive metastatic breast cancer who had received previous treatment with trastuzumab emtansine. In the first part of the study, we evaluated three different doses of trastuzumab deruxtecan to establish a recommended dose; in the second part, we evaluated the efficacy and safety of the recommended dose. The primary end point was the objective response, according to independent central review. Key secondary end points were the disease-control rate, clinical-benefit rate, duration of response and progression-free survival, and safety. RESULTS Overall, 184 patients who had undergone a median of six previous treatments received the recommended dose of trastuzumab deruxtecan (5.4 mg per kilogram of body weight). In the intention-to-treat analysis, a response to therapy was reported in 112 patients (60.9%; 95% confidence interval [CI], 53.4 to 68.0). The median duration of follow-up was 11.1 months (range, 0.7 to 19.9). The median response duration was 14.8 months (95% CI, 13.8 to 16.9), and the median duration of progression-free survival was 16.4 months (95% CI, 12.7 to not reached). During the study, the most common adverse events of grade 3 or higher were a decreased neutrophil count (in 20.7% of the patients), anemia (in 8.7%), and nausea (in 7.6%). On independent adjudication, the trial drug was associated with interstitial lung disease in 13.6% of the patients (grade 1 or 2, 10.9%; grade 3 or 4, 0.5%; and grade 5, 2.2%). CONCLUSIONS Trastuzumab deruxtecan showed durable antitumor activity in a pretreated patient population with HER2-positive metastatic breast cancer. In addition to nausea and myelosuppression, interstitial lung disease was observed in a subgroup of patients and requires attention to pulmonary symptoms and careful monitoring. (Funded by Daiichi Sankyo and AstraZeneca; DESTINY-Breast01 ClinicalTrials.gov number, NCT03248492.)."
2016,A Dataset for Breast Cancer Histopathological Image Classification,"Today, medical image analysis papers require solid experiments to prove the usefulness of proposed methods. However, experiments are often performed on data selected by the researchers, which may come from different institutions, scanners, and populations. Different evaluation measures may be used, making it difficult to compare the methods. In this paper, we introduce a dataset of 7909 breast cancer histopathology images acquired on 82 patients, which is now publicly available from http://web.inf.ufpr.br/vri/breast-cancer-database. The dataset includes both benign and malignant images. The task associated with this dataset is the automated classification of these images in two classes, which would be a valuable computer-aided diagnosis tool for the clinician. In order to assess the difficulty of this task, we show some preliminary results obtained with state-of-the-art image classification systems. The accuracy ranges from 80% to 85%, showing room for improvement is left. By providing this dataset and a standardized evaluation protocol to the scientific community, we hope to gather researchers in both the medical and the machine learning field to advance toward this clinical application."
2016,Clinical Applications of Circulating Tumor Cells and Circulating Tumor DNA as Liquid Biopsy.,"UNLABELLED ""Liquid biopsy"" focusing on the analysis of circulating tumor cells (CTC) and circulating cell-free tumor DNA (ctDNA) in the blood of patients with cancer has received enormous attention because of its obvious clinical implications for personalized medicine. Analyses of CTCs and ctDNA have paved new diagnostic avenues and are, to date, the cornerstones of liquid biopsy diagnostics. The present review focuses on key areas of clinical applications of CTCs and ctDNA, including detection of cancer, prediction of prognosis in patients with curable disease, monitoring systemic therapies, and stratification of patients based on the detection of therapeutic targets or resistance mechanisms. SIGNIFICANCE The application of CTCs and ctDNA for the early detection of cancer is of high public interest, but it faces serious challenges regarding specificity and sensitivity of the current assays. Prediction of prognosis in patients with curable disease can already be achieved in several tumor entities, particularly in breast cancer. Monitoring the success or failure of systemic therapies (i.e., chemotherapy, hormonal therapy, or other targeted therapies) by sequential measurements of CTCs or ctDNA is also feasible. Interventional studies on treatment stratification based on the analysis of CTCs and ctDNA are needed to implement liquid biopsy into personalized medicine. Cancer Discov; 6(5); 479-91. ©2016 AACR."
2016,Deep Learning for Identifying Metastatic Breast Cancer,"The International Symposium on Biomedical Imaging (ISBI) held a grand challenge to evaluate computational systems for the automated detection of metastatic breast cancer in whole slide images of sentinel lymph node biopsies. Our team won both competitions in the grand challenge, obtaining an area under the receiver operating curve (AUC) of 0.925 for the task of whole slide image classification and a score of 0.7051 for the tumor localization task. A pathologist independently reviewed the same images, obtaining a whole slide image classification AUC of 0.966 and a tumor localization score of 0.733. Combining our deep learning system's predictions with the human pathologist's diagnoses increased the pathologist's AUC to 0.995, representing an approximately 85 percent reduction in human error rate. These results demonstrate the power of using deep learning to produce significant improvements in the accuracy of pathological diagnoses."
2017,Classification of breast cancer histology images using Convolutional Neural Networks,"Breast cancer is one of the main causes of cancer death worldwide. The diagnosis of biopsy tissue with hematoxylin and eosin stained images is non-trivial and specialists often disagree on the final diagnosis. Computer-aided Diagnosis systems contribute to reduce the cost and increase the efficiency of this process. Conventional classification approaches rely on feature extraction methods designed for a specific problem based on field-knowledge. To overcome the many difficulties of the feature-based approaches, deep learning methods are becoming important alternatives. A method for the classification of hematoxylin and eosin stained breast biopsy images using Convolutional Neural Networks (CNNs) is proposed. Images are classified in four classes, normal tissue, benign lesion, in situ carcinoma and invasive carcinoma, and in two classes, carcinoma and non-carcinoma. The architecture of the network is designed to retrieve information at different scales, including both nuclei and overall tissue organization. This design allows the extension of the proposed system to whole-slide histology images. The features extracted by the CNN are also used for training a Support Vector Machine classifier. Accuracies of 77.8% for four class and 83.3% for carcinoma/non-carcinoma are achieved. The sensitivity of our method for cancer cases is 95.6%."
2016,Stacked Sparse Autoencoder (SSAE) for Nuclei Detection on Breast Cancer Histopathology Images,"Automated nuclear detection is a critical step for a number of computer assisted pathology related image analysis algorithms such as for automated grading of breast cancer tissue specimens. The Nottingham Histologic Score system is highly correlated with the shape and appearance of breast cancer nuclei in histopathological images. However, automated nucleus detection is complicated by 1) the large number of nuclei and the size of high resolution digitized pathology images, and 2) the variability in size, shape, appearance, and texture of the individual nuclei. Recently there has been interest in the application of “Deep Learning” strategies for classification and analysis of big image data. Histopathology, given its size and complexity, represents an excellent use case for application of deep learning strategies. In this paper, a Stacked Sparse Autoencoder (SSAE), an instance of a deep learning strategy, is presented for efficient nuclei detection on high-resolution histopathological images of breast cancer. The SSAE learns high-level features from just pixel intensities alone in order to identify distinguishing features of nuclei. A sliding window operation is applied to each image in order to represent image patches via high-level features obtained via the auto-encoder, which are then subsequently fed to a classifier which categorizes each image patch as nuclear or non-nuclear. Across a cohort of 500 histopathological images (2200 × 2200) and approximately 3500 manually segmented individual nuclei serving as the groundtruth, SSAE was shown to have an improved F-measure 84.49% and an average area under Precision-Recall curve (AveP) 78.83%. The SSAE approach also out-performed nine other state of the art nuclear detection strategies."
2016,Breast cancer histopathological image classification using Convolutional Neural Networks,"The performance of most conventional classification systems relies on appropriate data representation and much of the efforts are dedicated to feature engineering, a difficult and time-consuming process that uses prior expert domain knowledge of the data to create useful features. On the other hand, deep learning can extract and organize the discriminative information from the data, not requiring the design of feature extractors by a domain expert. Convolutional Neural Networks (CNNs) are a particular type of deep, feedforward network that have gained attention from research community and industry, achieving empirical successes in tasks such as speech recognition, signal processing, object recognition, natural language processing and transfer learning. In this paper, we conduct some preliminary experiments using the deep learning approach to classify breast cancer histopathological images from BreaKHis, a publicly dataset available at http://web.inf.ufpr.br/vri/breast-cancer-database. We propose a method based on the extraction of image patches for training the CNN and the combination of these patches for final classification. This method aims to allow using the high-resolution histopathological images from BreaKHis as input to existing CNN, avoiding adaptations of the model that can lead to a more complex and computationally costly architecture. The CNN performance is better when compared to previously reported results obtained by other machine learning models trained with hand-crafted textural descriptors. Finally, we also investigate the combination of different CNNs using simple fusion rules, achieving some improvement in recognition rates."
2014,"Prevalence, mechanisms, and management of cancer-related cognitive impairment","Abstract This review summarizes the current literature on cancer-related cognitive impairment (CRCI) with a focus on prevalence, mechanisms, and possible interventions for CRCI in those who receive adjuvant chemotherapy for non-central nervous system tumours and is primarily focused on breast cancer. CRCI is characterized as deficits in areas of cognition including memory, attention, concentration, and executive function. Development of CRCI can impair quality of life and impact treatment decisions. CRCI is highly prevalent; these problems can be detected in up to 30% of patients prior to chemotherapy, up to 75% of patients report some form of CRCI during treatment, and CRCI is still present in up to 35% of patients many years following completion of treatment. While the trajectory of CRCI is becoming better understood, the mechanisms underlying the development of CRCI are still obscure; however, host characteristics, immune dysfunction, neural toxicity, and genetics may play key roles in the development and trajectory of CRCI. Intervention research is limited, though strategies to maintain function are being studied with promising preliminary findings. This review highlights key research being conducted in these areas, both in patient populations and in animals, which will ultimately result in better understanding and effective treatments for CRCI."
2014,Automatic detection of invasive ductal carcinoma in whole slide images with convolutional neural networks,"This paper presents a deep learning approach for automatic detection and visual analysis of invasive ductal carcinoma (IDC) tissue regions in whole slide images (WSI) of breast cancer (BCa). Deep learning approaches are learn-from-data methods involving computational modeling of the learning process. This approach is similar to how human brain works using different interpretation levels or layers of most representative and useful features resulting into a hierarchical learned representation. These methods have been shown to outpace traditional approaches of most challenging problems in several areas such as speech recognition and object detection. Invasive breast cancer detection is a time consuming and challenging task primarily because it involves a pathologist scanning large swathes of benign regions to ultimately identify the areas of malignancy. Precise delineation of IDC in WSI is crucial to the subsequent estimation of grading tumor aggressiveness and predicting patient outcome. DL approaches are particularly adept at handling these types of problems, especially if a large number of samples are available for training, which would also ensure the generalizability of the learned features and classifier. The DL framework in this paper extends a number of convolutional neural networks (CNN) for visual semantic analysis of tumor regions for diagnosis support. The CNN is trained over a large amount of image patches (tissue regions) from WSI to learn a hierarchical part-based representation. The method was evaluated over a WSI dataset from 162 patients diagnosed with IDC. 113 slides were selected for training and 49 slides were held out for independent testing. Ground truth for quantitative evaluation was provided via expert delineation of the region of cancer by an expert pathologist on the digitized slides. The experimental evaluation was designed to measure classifier accuracy in detecting IDC tissue regions in WSI. Our method yielded the best quantitative results for automatic detection of IDC regions in WSI in terms of F-measure and balanced accuracy (71.80%, 84.23%), in comparison with an approach using handcrafted image features (color, texture and edges, nuclear textural and architecture), and a machine learning classifier for invasive tumor classification using a Random Forest. The best performing handcrafted features were fuzzy color histogram (67.53%, 78.74%) and RGB histogram (66.64%, 77.24%). Our results also suggest that at least some of the tissue classification mistakes (false positives and false negatives) were less due to any fundamental problems associated with the approach, than the inherent limitations in obtaining a very highly granular annotation of the diseased area of interest by an expert pathologist."
