2017,A deep feature fusion methodology for breast cancer diagnosis demonstrated on three imaging modality datasets,"Background: Deep learning methods for radiomics/computer‐aided diagnosis (CADx) are often prohibited by small datasets, long computation time, and the need for extensive image preprocessing. Aims: We aim to develop a breast CADx methodology that addresses the aforementioned issues by exploiting the efficiency of pre‐trained convolutional neural networks (CNNs) and using pre‐existing handcrafted CADx features. Materials & Methods: We present a methodology that extracts and pools low‐ to mid‐level features using a pretrained CNN and fuses them with handcrafted radiomic features computed using conventional CADx methods. Our methodology is tested on three different clinical imaging modalities (dynamic contrast enhanced‐MRI [690 cases], full‐field digital mammography [245 cases], and ultrasound [1125 cases]). Results: From ROC analysis, our fusion‐based method demonstrates, on all three imaging modalities, statistically significant improvements in terms of AUC as compared to previous breast cancer CADx methods in the task of distinguishing between malignant and benign lesions. (DCE‐MRI [AUC = 0.89 (se = 0.01)], FFDM [AUC = 0.86 (se = 0.01)], and ultrasound [AUC = 0.90 (se = 0.01)]). Discussion/Conclusion: We proposed a novel breast CADx methodology that can be used to more effectively characterize breast lesions in comparison to existing methods. Furthermore, our proposed methodology is computationally efficient and circumvents the need for image preprocessing."
2021,Contrast-enhanced Mammography: State of the Art.,"Contrast-enhanced mammography (CEM) has emerged as a viable alternative to contrast-enhanced breast MRI, and it may increase access to vascular imaging while reducing examination cost. Intravenous iodinated contrast materials are used in CEM to enhance the visualization of tumor neovascularity. After injection, imaging is performed with dual-energy digital mammography, which helps provide a low-energy image and a recombined or iodine image that depict enhancing lesions in the breast. CEM has been demonstrated to help improve accuracy compared with digital mammography and US in women with abnormal screening mammographic findings or symptoms of breast cancer. It has also been demonstrated to approach the accuracy of breast MRI in preoperative staging of patients with breast cancer and in monitoring response after neoadjuvant chemotherapy. There are early encouraging results from trials evaluating CEM in the screening of women who are at an increased risk of breast cancer. Although CEM is a promising tool, it slightly increases radiation dose and carries a small risk of adverse reactions to contrast materials. This review details the CEM technique, diagnostic and screening uses, and future applications, including artificial intelligence and radiomics."
2020,Deep Learning vs. Radiomics for Predicting Axillary Lymph Node Metastasis of Breast Cancer Using Ultrasound Images: Don't Forget the Peritumoral Region,"Objective: Axillary lymph node (ALN) metastasis status is important in guiding treatment in breast cancer. The aims were to assess how deep convolutional neural network (CNN) performed compared with radiomics analysis in predicting ALN metastasis using breast ultrasound, and to investigate the value of both intratumoral and peritumoral regions in ALN metastasis prediction. Methods: We retrospectively enrolled 479 breast cancer patients with 2,395 breast ultrasound images. Based on the intratumoral, peritumoral, and combined intra- and peritumoral regions, three CNNs were built using DenseNet, and three radiomics models were built using random forest, respectively. By combining the molecular subtype, another three CNNs and three radiomics models were built. All models were built on training cohort (343 patients 1,715 images) and evaluated on testing cohort (136 patients 680 images) with ROC analysis. Another prospective cohort of 16 patients was enrolled to further test the models. Results: AUCs of image-only CNNs in both training/testing cohorts were 0.957/0.912 for combined region, 0.944/0.775 for peritumoral region, and 0.937/0.748 for intratumoral region, which were numerically higher than their corresponding radiomics models with AUCs of 0.940/0.886, 0.920/0.724, and 0.913/0.693. The overall performance of image-molecular CNNs in terms of AUCs on training/testing cohorts slightly increased to 0.962/0.933, 0.951/0.813, and 0.931/0.794, respectively. AUCs of both CNNs and radiomics models built on combined region were significantly better than those on either intratumoral or peritumoral region on the testing cohort (p < 0.05). In the prospective study, the CNN model built on combined region achieved the highest AUC of 0.95 among all image-only models. Conclusions: CNNs showed numerically better overall performance compared with radiomics models in predicting ALN metastasis in breast cancer. For both CNNs and radiomics models, combining intratumoral, and peritumoral regions achieved significantly better performance."
2019,Radiomics of Brain MRI: Utility in Prediction of Metastatic Tumor Type.,"Purpose To investigate the feasibility of tumor type prediction with MRI radiomic image features of different brain metastases in a multiclass machine learning approach for patients with unknown primary lesion at the time of diagnosis. Materials and methods This single-center retrospective analysis included radiomic features of 658 brain metastases from T1-weighted contrast material-enhanced, T1-weighted nonenhanced, and fluid-attenuated inversion recovery (FLAIR) images in 189 patients (101 women, 88 men; mean age, 61 years; age range, 32-85 years). Images were acquired over a 9-year period (from September 2007 through December 2016) with different MRI units, reflecting heterogeneous image data. Included metastases originated from breast cancer (n = 143), small cell lung cancer (n = 151), non-small cell lung cancer (n = 225), gastrointestinal cancer (n = 50), and melanoma (n = 89). A total of 1423 quantitative image features and basic clinical data were evaluated by using random forest machine learning algorithms. Validation was performed with model-external fivefold cross validation. Comparative analysis of 10 randomly drawn cross-validation sets verified the stability of the results. The classifier performance was compared with predictions from a respective conventional reading by two radiologists. Results Areas under the receiver operating characteristic curve of the five-class problem ranged between 0.64 (for non-small cell lung cancer) and 0.82 (for melanoma); all P values were less than .01. Prediction performance of the classifier was superior to the radiologists' readings. Highest differences were observed for melanoma, with a 17-percentage-point gain in sensitivity compared with the sensitivity of both readers; P values were less than .02. Conclusion Quantitative features of routine brain MR images used in a machine learning classifier provided high discriminatory accuracy in predicting the tumor type of brain metastases. © RSNA, 2018 Online supplemental material is available for this article."
2019,Convolutional neural networks for computer-aided detection or diagnosis in medical image analysis: An overview.,"Computer-aided detection or diagnosis (CAD) has been a promising area of research over the last two decades. Medical image analysis aims to provide a more efficient diagnostic and treatment process for the radiologists and clinicians. However, with the development of science and technology, data interpretation manually in the conventional CAD systems has gradually become a challenging task. Deep learning methods, especially convolutional neural networks (CNNs), are successfully used as tools to solve this problem. This includes applications such as breast cancer diagnosis, lung nodule detection and prostate cancer localization. In this overview, the current state-of-the-art medical image analysis techniques in CAD research are presented, which focus on the convolutional neural network (CNN) based methods. The commonly used medical image databases in literature are also listed. It is anticipated that this paper can provide researchers in radiomics, precision medicine, and imaging grouping with a systematic picture of the CNN-based methods used in CAD research."
2019,Radiomics Analysis of Dynamic Contrast-Enhanced Magnetic Resonance Imaging for the Prediction of Sentinel Lymph Node Metastasis in Breast Cancer,"Purpose: To investigate whether a combination of radiomics and automatic machine learning applied to dynamic contrast-enhanced magnetic resonance imaging (DCE-MRI) of primary breast cancer can non-invasively predict axillary sentinel lymph node (SLN) metastasis. Methods: 62 patients who received a DCE-MRI breast scan were enrolled. Tumor resection and sentinel lymph node (SLN) biopsy were performed within 1 week after the DCE-MRI examination. According to the time signal intensity curve, the volumes of interest (VOIs) were delineated on the whole tumor in the images with the strongest enhanced phase. Datasets were randomly divided into two sets including a training set (~80%) and a validation set (~20%). A total of 1,409 quantitative imaging features were extracted from each VOI. The select K best and least absolute shrinkage and selection operator (Lasso) were used to obtain the optimal features. Three classification models based on the logistic regression (LR), XGboost, and support vector machine (SVM) classifiers were constructed. Receiver Operating Curve (ROC) analysis was used to analyze the prediction performance of the models. Both feature selection and models construction were firstly performed in the training set, then were further tested in the validation set by the same thresholds. Results: There is no significant difference between all clinical and pathological variables in breast cancer patients with and without SLN metastasis (P > 0.05), except histological grade (P = 0.03). Six features were obtained as optimal features for models construction. In the validation set, with respect to the accuracy and MSE, the SVM demonstrated the highest performance, with an accuracy, AUC, sensitivity (for positive SLN), specificity (for positive SLN) and Mean Squared Error (MSE) of 0.85, 0.83, 0.71, 1, 0.26, respectively. Conclusions: We demonstrated the feasibility of combining artificial intelligence and radiomics from DCE-MRI of primary tumors to predict axillary SLN metastasis in breast cancer. This non-invasive approach could be very promising in application."
2020,Novel Approaches to Screening for Breast Cancer.,"Screening for breast cancer reduces breast cancer-related mortality and earlier detection facilitates less aggressive treatment. Unfortunately, current screening modalities are imperfect, suffering from limited sensitivity and high false-positive rates. Novel techniques in the field of breast imaging may soon play a role in breast cancer screening: digital breast tomosynthesis, contrast material-enhanced spectral mammography, US (automated three-dimensional breast US, transmission tomography, elastography, optoacoustic imaging), MRI (abbreviated and ultrafast, diffusion-weighted imaging), and molecular breast imaging. Artificial intelligence and radiomics have the potential to further improve screening strategies. Furthermore, nonimaging-based screening tests such as liquid biopsy and breathing tests may transform the screening landscape. © RSNA, 2020 Online supplemental material is available for this article."
2020,Radiomics Improves Cancer Screening and Early Detection,"Imaging is a key technology in the early detection of cancers, including X-ray mammography, low-dose CT for lung cancer, or optical imaging for skin, esophageal, or colorectal cancers. Historically, imaging information in early detection schema was assessed qualitatively. However, the last decade has seen increased development of computerized tools that convert images into quantitative mineable data (radiomics), and their subsequent analyses with artificial intelligence (AI). These tools are improving diagnostic accuracy of early lesions to define risk and classify malignant/aggressive from benign/indolent disease. The first section of this review will briefly describe the various imaging modalities and their use as primary or secondary screens in an early detection pipeline. The second section will describe specific use cases to illustrate the breadth of imaging modalities as well as the benefits of quantitative image analytics. These will include optical (skin cancer), X-ray CT (pancreatic and lung cancer), X-ray mammography (breast cancer), multiparametric MRI (breast and prostate cancer), PET (pancreatic cancer), and ultrasound elastography (liver cancer). Finally, we will discuss the inexorable improvements in radiomics to build more robust classifier models and the significant limitations to this development, including access to well-annotated databases, and biological descriptors of the imaged feature data. See all articles in this CEBP Focus section, “NCI Early Detection Research Network: Making Cancer Detection Possible.”"
2021,Breast Cancer Molecular Subtypes Prediction by Mammographic Radiomics Features,"Rationale and Objectives: This study aimed to investigate whether quantitative radiomics features extracted from digital mammogram images are associated with molecular subtypes of breast cancer. Materials and Methods: In this institutional review board approved retrospective study, we collected 331 Chinese women who were diagnosed with invasive breast cancer in 2015. This cohort included 29 triple-negative, 45 human epidermal growth factor receptor 2 (HER2)-enriched, 36 luminal A, and 221 luminal B lesions. A set of 39 quantitative radiomic features, including morphological, gray scale statistic, and texture features, were extracted from the segmented lesion area. Three binary-classifications of the subtypes were performed: triple-negative vs. non-triplenegative, HER2-enriched vs. non-HER2-enriched, and luminal (A+B) vs. non-luminal. The Naive Bayes machine learning scheme was employed for the classification and the least absolute shrink age and selection operator (LASSO) method was used to select most predictive features for the classifiers. Classification performance was evaluated by the area under receiver operating characteristic curve (AUC) and accuracy. Corresponding authors: Shandong Wu (wus3@upmc.edu) and Peifang Liu (liupf2017@126.com). Publisher's Disclaimer: This is a PDF file of an unedited manuscript that has been accepted for publication. As a service to our customers we are providing this early version of the manuscript. The manuscript will undergo copyediting, typesetting, and review of the resulting proof before it is published in its final citable form. Please note that during the production process errors may be discovered which could affect the content, and all legal disclaimers that apply to the journal pertain. Declarations of interest: None HHS Public Access Author manuscript Acad Radiol. Author manuscript; available in PMC 2021 April 29. Published in final edited form as: Acad Radiol. 2019 February ; 26(2): 196–201. doi:10.1016/j.acra.2018.01.023. A uhor M anscript"
2021,Breast ultrasound tumour classification: A Machine Learning—Radiomics based approach,"Prediction of breast tumour malignancy using ultrasound imaging, is an important step for early detection of breast cancer. An efficient prediction system can be a great help to improve the survival chances of the involved patients. In this work, a machine learning (ML)—radiomics based classification pipeline is proposed, to perform this predictive modelling task, in a much more efficient manner. Multiple different types of image features of the region of interests are considered in this work, followed by a recursive feature elimination based feature selection step. Furthermore, a synthetic minority oversampling technique based step is also included in the pipeline, to deal with the class imbalance problem, that is often present in medical imaging datasets. Various ML models are considered in the subsequent model training phase, on a publicly available breast ultrasound image dataset (BUSI). From experimental analysis it has been observed that, shape, texture and histogram oriented gradients related features are the most informative, with respect to the predictive modelling task. Furthermore, it was observed that ensemble learners such as random forest, gradient boosting and AdaBoost classifiers are able to achieve significant results with respect to multiple evaluation metrics. The proposed approach achieved the state‐of‐the‐art accuracy, area under the curve, F1‐score and Mathews correlation coefficient values of 0.974, 0.97, 0.94 and 0.959, respectively, on the BUSI dataset. Such kind of impressive results suggest that the proposed approach can have a very high practical utility, in real medical diagnostic settings."
