Yeojin Jeong- Jeesoo Lee- Young-jin Lee- Jiyun Hwang- Sae Byul Lee- Tae-Kyung Yoo- Myeong-Seong Kim- Jae Il Kim- John L Hopper- Tuong L Nguyen- Jong Won Lee- Joohon Sung,Artificial-Intelligence Powered Identification of High-Risk Breast Cancer Subgroups Using Mammography: A Multicenter Study Integrating Automated Brightest Density Measures with Deep Learning Metrics,Breast Cancer is a significant global health challenge- particularly affecting women with higher mortality compared with other cancer types. Timely detection of such cancer types is crucial- and recent research- employing deep learning techniques- shows promise in earlier detection. The research focuses on the early detection of such tumors using mammogram images with deep-learning models. The paper utilized four public databases where a similar amount of 986 mammograms each for three classes (normal- benign- malignant) are taken for evaluation. Herein- three deep CNN models such as VGG-11- Inception v3- and ResNet50 are employed as base classifiers. The research adopts an ensemble method where the proposed approach makes use of the modified Gompertz function for building a fuzzy ranking of the base classification models and their decision scores are integrated in an adaptive manner for constructing the final prediction of results. The classification results of the proposed fuzzy ensemble approach outperform transfer learning models and other ensemble approaches such as weighted average and Sugeno integral techniques. The proposed ResNet50 ensemble network using the modified Gompertz function-based fuzzy ranking approach provides a superior classification accuracy of 98.986%.
Koagne Longpa T. Silas,Breast Cancer Diagnosis with Machine Learning Using Feed-Forward Multilayer Perceptron Analog Artificial Neural Network,OBJECTIVES:: This study explores a deep learning (DL) approach to predicting bone metastases in breast cancer (BC) patients using clinical information- such as the fat index- and features like Computed Tomography (CT) images. METHODS:: CT imaging data and clinical information were collected from 431 BC patients who underwent radical surgical resection at Harbin Medical University Cancer Hospital. The area of muscle and adipose tissue was obtained from CT images at the level of the eleventh thoracic vertebra. The corresponding histograms of oriented gradients (HOG) and local binary pattern (LBP) features were extracted from the CT images- and the network features were derived from the LBP and HOG features as well as the CT images through deep learning (DL). The combination of network features with clinical information was utilized to predict bone metastases in BC patients using the Gradient Boosting Decision Tree (GBDT) algorithm. Regularized Cox regression models were employed to identify independent prognostic factors for bone metastasis. RESULTS:: The combination of clinical information and network features extracted from LBP features- HOG features- and CT images using a convolutional neural network (CNN) yielded the best performance- achieving an AUC of 0.922 (95% confidence interval [CI]: 0.843â€šÃ„Ã¶âˆšÃ‘âˆšâˆ‚â€šÃ Ã¶âˆšÃ«â€šÃ Ã¶Â¬Â®0.964- [Formula: see text] 0.01). Regularized Cox regression results indicated that the subcutaneous fat index was an independent prognostic factor for bone metastasis in breast cancer (BC). CONCLUSION:: Subcutaneous fat index could predict bone metastasis in BC patients. Deep learning multimodal algorithm demonstrates superior performance in assessing bone metastases in BC patients.
T Liu- H Wang- F Feng- W Li- F Zheng- K Wu- ...,â€šÃ„Ã¶âˆšÃ‘âˆšâˆ‚â€šÃ Ã¶âˆšÃ«Â¬Â¨â€šÃ Ã‡ clinicopathologic information and dynamic contrast-enhanced MRI for augmented prediction of neoadjuvant chemotherapy response in breast cancer,Breast UltraSound (BUS) imaging is a commonly used diagnostic tool in the field of counter fighting breast diseases- especially for early detection and diagnosis of breast cancer. Due to the inherent characteristics of ultrasound images such as blurry boundaries and diverse tumor morphologies- it is challenging for doctors to manually segment breast tumors. In recent years- the Convolutional Neural Network (CNN) technology has been widely applied to automatically segment BUS images. However- due to the inherent limitations of CNNs in capturing global contextual information- it is difficult to capture the full context. To address this issue- the paper proposes a novel BGRD-TransUNet model for breast lesion segmentation- based on TransUNet. The proposed model- first- replaces the original ResNet50 backbone network of TransUNet with DenseNet121 for initial feature extraction. Next- newly designed Residual Multi-Scale Feature Modules (RMSFMs) are employed to extract features from various layers of DenseNet121- thus capturing richer features within specific layers. Thirdly- a Boundary Guidance (BG) network is added to enhance the contour information of BUS images. Additionally- newly designed Boundary Attentional Feature Fusion Modules (BAFFMs) are used to integrate edge information and features extracted through RMSFMs. Finally- newly designed Parallel Channel and Spatial Attention Modules (PCSAMs) are used to refine feature extraction using channel and spatial attention. An extensive experimental testing performed on two public datasets demonstrates that the proposed BGRD-TransUNet model outperforms all state-of-the-art medical image segmentation models- participating in the experiments- according to all evaluation metrics used (except for few separate cases)- including the two most important and widely used metrics in the field of medical image segmentation- namely the Intersection over Union (IoU) and Dice Similarity Coefficient (DSC). More specifically- on the BUSI dataset and dataset B- BGRD-TransUNet achieves IoU values of 76.77% and 86.61%- and DSC values of 85.08% and 92.47%- respectively- which are higher by 7.27 and 3.64- and 5.81 and 2.54 percentage points- than the corresponding values achieved by the baseline (TransUNet).
Y. Forghani- R. Timotoe- M. Figueiredo- T. Marques- E. Batista- F. Cordoso- M.J. Cardoso- J. Santinha- P. Gouveia,Breast tissue segmentation in MR images using deep-learning,Breast cancer is one of the malignancies that affects women. Breast cancer is a condition that is brought on by abnormal breast cells that multiply and form tumours. If left untreated- tumours have the capacity to grow throughout the body and become fatal. Early initiation and thorough completion of treatment is associated with better outcomes and greater patient tolerance for breast cancer patients. These days- early detection of breast cancer is quite helpful and will help the women who battle the illness. The earliest detection of breast cancer can be successfully achieved with the use of machine learning-based approaches. Breast cancer can be diagnosed with great accuracy using a number of machine learning techniques- including CNN- RF- SVM- NB- KNN- AB- and others. Thus- I am introducing a triple hybrid deep learning method for breast cancer diagnosis and prognosis. This is the CNN- GRU- and LSTM combination.
ArunaDevi Karuppasamy- Abdelhamid Abdesselam- Hamza zidoum- Rachid Hedjam- Maiya Al-Bahri,Combining a forward supervised filter learning with a sparse NMF for breast cancer histopathological image classification,Breast cancer remains a global health problem requiring effective diagnostic methods for early detection in order to achieve WHO&rsquo;s ultimate goal of breast self-examination (BSE). A literature review indicates the urgency of improving diagnostic methods and identifies thermography as a promising- cost-effective- and non-invasive and adjunctive and complementary detection method. This research explores the potential of using machine learning (ML) techniques- specifically Bayesian Networks (BN) combined with Convolutional Neural Networks (CNN) to improve breast cancer diagnosis at early stages. Explainable artificial intelligence (XAI) aims to clarify the reasoning behind any output of artificial neural networks based models. The proposed integration adds interpretability of the diagnosis- which is particularly significant for a medical diagnosis. We have constructed two diagnostic expert models. In research model A- combining thermal images after XAI process together with medical records- an accuracy of 84.07% has been achieved- while model B- that includes also CNN prediction- achieved an accuracy of 90.93%. These results demonstrate the potential of XAI to transform breast cancer diagnosis- increasing accuracy and reducing the risk of misdiagnosis.
Yuan Yao- Yang Zhao- Xu Guo- Xiangli Xu- Baiyang Fu- Hao Cui- Jian Xue- Jiawei Tian- Ke Lu- Lei Zhang,Deep Learning for Distinguishing Mucinous Breast Carcinoma From Fibroadenoma on Ultrasound,"Abstract: Breast cancer poses a significant global health threat to women, underscoring the crucial need for reliable and effective screening approaches. The utilization of computer-aided diagnostic (CAD) systems, leveraging mammograms, enables early detection, diagnosis, and treatment of breast cancer, thereby offering vital support in combating this disease. This study introduces a unique deep-learning model that uses transfer learning to identify and categorize breast cancer automatically. Several recent studies have shown that deep convolutional neural networks (DCNNs) can be used to diagnose breast cancer in mammograms with performances comparable to or even superior to those of human experts. The proposed model extracts features from the Mammographic Image Analysis Society (MIAS) dataset using pre-trained convolutional neural network (CNN) architectures such as ResNet50 and VGG-16. This revolutionary deep-learning model has the potential to improve the efficiency and accuracy of breast cancer detection and categorization."
Vedagiriswaran N- SHRIHARI KAMALAN KUMARAGURUPARAN- Kumara  Guru R,Machine Learning and Structural Informatics Approaches to Identify Mtor Inhibitors for Drug Repurposing in Triple-Negative Breast Cancer,Early detection significantly enhances patients' survival rates by identifying tumors in their initial stages through medical imaging. However- prevailing methodologies encounter challenges in extracting comprehensive information from diverse modalities- thereby exacerbating semantic disparities and overlooking critical task correlations- consequently compromising the accuracy of prognosis predictions. Moreover- clinical insights emphasize the advantageous sharing of parameters between tumor segmentation and survival prediction for enhanced prognostic accuracy. This paper proposes a novel model- BTSSPro- designed to concurrently address Breast cancer Tumor Segmentation and Survival prediction through a Prompt-guided multi-modal co-learning framework. Technologically- our approach involves the extraction of tumor-specific discriminative features utilizing shared dual attention (SDA) blocks- which amalgamate spatial and channel information from breast MR images. Subsequently- we employ a guided fusion module (GFM) to seamlessly integrate the Electronic Health Record (EHR) vector into the extracted tumor-related discriminative feature representations. This integration prompts the model's feature selection to align more closely with real-world scenarios. Finally- a feature harmonic unit (FHU) is introduced to coordinate the transformer encoder and CNN decoder- thus reducing semantic differences. Remarkably- BTSSPro achieved a C-index of 0.968 and Dice score of 0.715 on the Breast MRI-NACT-Pilot dataset and a C-index of 0.807 and Dice score of 0.791 on the ISPY1 dataset- surpassing the previous state-of-the-art methods.
Zhe Lin,Breast cancer classification based on hybrid machine learning model,Automatic breast tumor segmentation based on convolutional neural networks (CNNs) is significant for the diagnosis and monitoring of breast cancers. CNNs have become an important method for early diagnosis of breast cancer and- thus- can help decrease the mortality rate. In order to assist medical professionals in breast cancer investigation a computerized system based on two encoder-decoder architectures for breast tumor segmentation has been developed. Two pre-trained DeepLabV3+ and U-Net models are proposed. The encoder generates a high-dimensional feature vector while the decoder analyses the low-resolution feature vector provided by the encoder and generates a semantic segmentation mask. Semantic segmentation based on deep learning techniques can overcome the limitations of traditional algorithms. To assess the efficiency of breast ultrasound image segmentation- we compare the segmentation results provided by CNNs against the Local Graph Cut technique (a semi-automatic segmentation method) in the Image Segmenter application. The output segmentation results have been evaluated by using the Dice similarity coefficient that compares the ground truth images provided by the specialists against the predicted segmentation results provided by the CNNs and Local Graph Cut algorithm. The proposed approach is validated on 780 breast ultrasonographic images of the BUSI public database of which 437 are benign and 210 are malignant. The BUSI database provides classification (benign or malignant) labels for ground truth in binary mask images. The average Dice scores computed between the ground truth images against CNNs were as follows: 0.9360 (malignant) and 0.9325 (benign) for the DeepLabV3+ architecture and of 0.6251 (malignant) and 0.6252 (benign) for the U-Net- respectively. When the segmentation results provided by CNNs were compared with the Local Graph Cut segmented images- the Dice scores were 0.9377 (malignant) and 0.9204 (benign) for DeepLabV3+ architecture and 0.6115 (malignant) and 0.6119 (benign) for U-Net- respectively. The results show that the DeepLabV3+ has significantly better segmentation performance and outperforms the U-Net network.
Ziming Liu,Improving breast cancer classification using histopathology images through deep learning,The most fatal disease affecting women worldwide now is breast cancer. Early detection of breast cancer enhances the likelihood of a full recovery and lowers mortality. Based on medical imaging- researchers from all around the world are developing breast cancer screening technologies. Due to their rapid progress- deep learning algorithms have caught the interest of many in the field of medical imaging. This research proposes a novel method in mammogram image feature extraction with classification and optimization using machine learning in breast cancer detection. The input image has been processed for noise removal- smoothening- and normalization. The input image features were extracted using probabilistic principal component analysis for detecting the presence of tumors in mammogram images. The extracted tumor region is classified using the Naâ€šÃ„Ã¶âˆšâ€ âˆšâˆ‚â€šÃ Ã¶âˆšâ‰¤ve Bayes classifier and transfer integrated convolution neural networks. The classified output has been optimized using firefly binary grey optimization and metaheuristic moth flame lion optimization. The experimental analysis has been carried out in terms of different parameters based on datasets. The proposed framework used an ensemble model for breast cancer that made use of the proposed Bayesâ€šÃ„Ã¶âˆšÃ‘âˆšâˆ‚â€šÃ Ã¶âˆšÃ«â€šÃ Ã¶Â¬Â¢+â€šÃ„Ã¶âˆšÃ‘âˆšâˆ‚â€šÃ Ã¶âˆšÃ«â€šÃ Ã¶Â¬Â¢FBGO and TCNNâ€šÃ„Ã¶âˆšÃ‘âˆšâˆ‚â€šÃ Ã¶âˆšÃ«â€šÃ Ã¶Â¬Â¢+â€šÃ„Ã¶âˆšÃ‘âˆšâˆ‚â€šÃ Ã¶âˆšÃ«â€šÃ Ã¶Â¬Â¢MMFLO classifier and optimizer for diverse mammography image datasets. The INbreast dataset was evaluated using the proposed Bayesâ€šÃ„Ã¶âˆšÃ‘âˆšâˆ‚â€šÃ Ã¶âˆšÃ«â€šÃ Ã¶Â¬Â¢+â€šÃ„Ã¶âˆšÃ‘âˆšâˆ‚â€šÃ Ã¶âˆšÃ«â€šÃ Ã¶Â¬Â¢FBGO and TCNNâ€šÃ„Ã¶âˆšÃ‘âˆšâˆ‚â€šÃ Ã¶âˆšÃ«â€šÃ Ã¶Â¬Â¢+â€šÃ„Ã¶âˆšÃ‘âˆšâˆ‚â€šÃ Ã¶âˆšÃ«â€šÃ Ã¶Â¬Â¢MMFLO classifiers- which achieved 95% and 98% accuracy- respectively.
Milan Manoj- Akshay Rajan- Gouri Santhosh- Anjali T- Panchami Sankar,An Extensive Analysis of Breast Cancer detection using Deep Learning Algorithms,AI is transforming the medical field- especially in early detection and categorization of breast cancer. Deep learning models like CNNI-BCC are displaying impressive capabilities in examining MRI images to precisely recognize different types of breast cancer. This advancement in technology has significant implications for enhancing patient outcomes. By utilizing AI- healthcare professionals can now receive more accurate and prompt diagnoses. CNNI- BCC's exceptional accuracy in analyzing MRI images allows for earlier detection of breast cancer- which is crucial for successful treatment. This technology enables doctors to identify potential abnormalities that may have been missed by traditional methods- leading to more effective interventions.
